two_digit,postalCity
11,Stockholm
12,Älvsjö/ Årsta/ Bagarmossen/ Bandhagen/ Enskede/ Enskede Gård/ Enskededalen/ Farsta/ Hägersten/ Johanneshov/ Skärholmen/ Skarpnäck/ Sköndal/ Stockholm/ Stockholm-Globen
13,Älta/ Årsta Havsbad/ Brandbergen/ Dalarö/ Djurhamn/ Gällnöby/ Gålö/ Gränö/ Gustavsberg/ Handen/ Haninge/ Harö/ Hårsfjärden/ Ingarö/ Ingmarsö/ Jordbro/ Möja/ Nacka/ Nacka Strand/ Nämdö/ Norra Sorunda/ Norrby/ Ornö/ Österhaninge/ Runmarö/ Saltsjö-Boo/ Saltsjö-Duvnäs/ Saltsjöbaden/ Sandhamn/ Skälvik/ Söderby/ Sollenkroka Ö/ Stavsnäs/ Stavsudda/ Stockholm/ Tungelsta/ Tynningö/ Tyresö/ Utö/ Värmdö/ Västerhaninge/ Vega/ Vendelsö
14,Grödinge/ Huddinge/ Kungens Kurva/ Landfjärden/ Muskö/ Norsborg/ Nynäshamn/ Ösmo/ Rönninge/ Segeltorp/ Segersäng/ Skogås/ Sorunda/ Stockholm/ Stora Vika/ Trångsund/ Tullinge/ Tumba/ Uttran/ Vårby
15,Enhörna/ Hölö/ Järna/ Mölnbo/ Mörkö/ Nykvarn/ Södertälje
16,Bromma/ Hässelby/ Kista/ Solna/ Spånga/ Stockholm/ Vällingby
17,Adelsö/ Drottningholm/ Ekerö/ Färentuna/ Järfälla/ Munsö/ Skå/ Solna/ Stenhamra/ Stockholm/ Sundbyberg/ Svartsjö
18,Åkersberga/ Brottby/ Danderyd/ Djursholm/ Enebyberg/ Husarö/ Lidingö/ Ljusterö/ Österskär/ Stockholm/ Stocksund/ Täby/ Vallentuna/ Vaxholm
19,Arlandastad/ Bro/ Kungsängen/ Märsta/ Rosersberg/ Sigtuna/ Sollentuna/ Steningehöjden/ Stockholm/ Upplands Väsby
21,Bunkeflostrand/ Klagshamn/ Limhamn/ Malmö/ Tygelsjö/ Vintrie
22,Lund
23,Åkarp/ Alnarp/ Anderslöv/ Arlöv/ Bara/ Beddingestrand/ Bjärred/ Falsterbo/ Höllviken/ Klågerup/ Klagstorp/ Lomma/ Malmö-Sturup/ Oxie/ Skanör/ Skegrie/ Smygehamn/ Svedala/ Trelleborg/ Vellinge
24,Barsebäck/ Billinge/ Dalby/ Dösjebro/ Eslöv/ Flyinge/ Furulund/ Genarp/ Hallaröd/ Harlösa/ Hjärup/ Höör/ Hörby/ Hurva/ Kävlinge/ Löberöd/ Löddeköpinge/ Ludvigsborg/ Marieholm/ Södra Sandby/ Staffanstorp/ Stehag/ Stockamöllan/ Tjörnarp/ Torna-Hällestad/ Veberöd
25,Allerum/ Domsten/ Fleninge/ Gantofta/ Hasslarp/ Helsingborg/ Kattarp/ Mörarp/ Ödåkra/ Påarp/ Råå/ Ramlösa/ Rydebäck/ Vallåkra
26,Ängelholm/ Annelöv/ Arild/ Asmundtorp/ Åstorp/ Båstad/ Billeberga/ Billesholm/ Bjuv/ Ekeby/ Farhult/ Förslöv/ Glumslöv/ Grevie/ Häljarp/ Härslöv/ Hjärnarp/ Höganäs/ Hyllinge/ Jonstorp/ Kågeröd/ Klippan/ Kvidinge/ Landskrona/ Lerberget/ Ljungbyhed/ Mjöhult/ Mölle/ Munka-Ljungby/ Nyhamnsläge/ Nyvång/ Ödåkra-Väla/ Össjö/ Östra Karup/ Östra Ljungby/ Röstånga/ Sankt Ibb/ Saxtorp/ Skäret/ Strandbaden/ Strövelstorp/ Svalöv/ Tågarp/ Teckomatorp/ Torekov/ Västra Karup/ Vejbystrand/ Viken
27,Abbekås/ Äsperöd/ Blentarp/ Borrby/ Brantevik/ Brösarp/ Gärsnäs/ Glemmingebro/ Hammenhög/ Kivik/ Köpingebro/ Löderup/ Lövestad/ Nybrostrand/ Onslunda/ Rydsgård/ Sankt Olof/ Simrishamn/ Sjöbo/ Skåne-Tranås/ Skillinge/ Skivarp/ Skurup/ Smedstorp/ Sövde/ Tomelilla/ Tommarp/ Vitaby/ Vollsjö/ Ystad
28,Åsljunga/ Ballingslöv/ Bjärnum/ Broby/ Eket/ Finja/ Glimåkra/ Hanaskog/ Hässleholm/ Hästveda/ Hörja/ Immeln/ Killeberg/ Knislinge/ Lönsboda/ Markaryd/ Nävlinge/ Örkelljunga/ Osby/ Perstorp/ Röke/ Sibbhult/ Skånes Fagerhult/ Sösdala/ Stoby/ Strömsnäsbruk/ Tormestorp/ Traryd/ Tyringe/ Vankiva/ Västra Torup/ Vinslöv/ Visseltofta/ Vittsjö
29,Åhus/ Arkelstorp/ Bromölla/ Degeberga/ Everöd/ Färlöv/ Fjälkinge/ Gärds Köpinge/ Gualöv/ Huaröd/ Jämshög/ Kristianstad/ Kyrkhult/ Linderöd/ Näsum/ Nymölla/ Olofström/ Önnestad/ Östra Sönnarslöv/ Rinkaby/ Sölvesborg/ Tollarp/ Villands Vånga/ Vilshult/ Vittskövle/ Yngsjö
30,Eldsberga/ Getinge/ Gullbrandstorp/ Halmstad/ Harplinge/ Haverdal/ Holm/ Kvibille/ Steninge/ Villshärad
31,Åled/ Älvsered/ Ätran/ Falkenberg/ Fegen/ Genevad/ Glommen/ Heberg/ Hishult/ Hyltebruk/ Kinnared/ Knäred/ Laholm/ Landeryd/ Långaryd/ Långås/ Mellbystrand/ Morup/ Oskarström/ Rydöbruk/ Sennan/ Simlångsdalen/ Skottorp/ Skummeslövsstrand/ Slättåkra/ Slöinge/ Torup/ Ugglarp/ Ullared/ Unnaryd/ Vallberga/ Våxtorp/ Veinge/ Vessigebro/ Vinberg
33,Anderstorp/ Åsenhöga/ Bor/ Bredaryd/ Broaryd/ Burseryd/ Forsheda/ Gislaved/ Gnosjö/ Hestra/ Hillerstorp/ Horda/ Kulltorp/ Marieholmsbruk/ Nissafors/ Reftele/ Rydaholm/ Skeppshult/ Smålandsstenar/ Strandudden/ Värnamo
34,Agunnaryd/ Älmhult/ Alvesta/ Annerstad/ Bolmsö/ Diö/ Eneryda/ Grimslöv/ Hallaryd/ Hamneda/ Häradsbäck/ Hjortsberga/ Lagan/ Liatorp/ Lidhult/ Ljungby/ Lönashult/ Moheda/ Ör/ Ryssby/ Torpsbruk/ Virestad/ Vislanda/ Vittaryd
35,Åryd/ Gemla/ Ingelstad/ Kalvsvik/ Tävelsås/ Värends Nöbbele/ Växjö/ Vederslöv
36,Älghult/ Älmeboda/ Alstermo/ Åseda/ Boda Glasbruk/ Braås/ Broakulla/ Emmaboda/ Eriksmåla/ Fröseke/ Furuby/ Hovmantorp/ Jät/ Klavreström/ Konga/ Kosta/ Lammhult/ Långasjö/ Lenhovda/ Lessebo/ Lindås/ Linneryd/ Norrhult/ Rottne/ Ryd/ Sävsjöström/ Skruv/ Tingsryd/ Tjureda/ Tolg/ Uråsa/ Urshult/ Väckelsång/ Vissefjärda
37,Asarum/ Backaryd/ Bräkne-Hoby/ Drottningskär/ Eringsboda/ Fågelmara/ Fridlevstad/ Hallabro/ Hasslö/ Holmsjö/ Jämjö/ Johannishus/ Kallinge/ Karlshamn/ Karlskrona/ Listerby/ Lyckeby/ Mörrum/ Nättraby/ Ramdala/ Rödeby/ Ronneby/ Senoren/ Sturkö/ Svängsta/ Tjurkö/ Torhamn/ Trensum/ Tving
38,Ålem/ Alsterbro/ Bergkvara/ Blomstermåla/ Borgholm/ Byxelkrok/ Degerhamn/ Färjestaden/ Fliseryd/ Gullabo/ Gullaskruv/ Hagby/ Halltorp/ Köpingsvik/ Ljungbyholm/ Löttorp/ Målerås/ Mönsterås/ Mörbylånga/ Nybro/ Orrefors/ Örsjö/ Påryd/ Söderåkra/ Timmernabben/ Torsås/ Trekanten/ Vassmolösa
39,Kalmar/ Läckeby/ Rockneby
41,Göteborg
42,Agnesberg/ Angered/ Billdal/ Gunnilse/ Hisings Backa/ Hisings Kärra/ Kållered/ Kullavik/ Olofstorp/ Särö/ Säve/ Torslanda/ Västra Frölunda
43,Åsa/ Askim/ Åskloster/ Asperö/ Brännö/ Bua/ Donsö/ Fjärås/ Frillesås/ Grimeton/ Hällingsjö/ Härryda/ Hindås/ Hovås/ Jonsered/ Karl Gustav/ Köpstadsö/ Kungsbacka/ Landvetter/ Lindome/ Mölndal/ Mölnlycke/ Öjersjö/ Onsala/ Partille/ Pixbo/ Rävlanda/ Rolfstorp/ Sävedalen/ Skällinge/ Stråvalla/ Styrsö/ Träslövsläge/ Tvååker/ Vallda/ Varberg/ Väröbacka/ Veddige/ Vrångö
44,Alafors/ Alingsås/ Älvängen/ Alvhem/ Bohus/ Floda/ Gråbo/ Hålanda/ Hålta/ Harestad/ Jörlanda/ Kareby/ Kärna/ Kode/ Kungälv/ Lerum/ Lycke/ Marstrand/ Nödinge/ Nol/ Ödsmål/ Romelanda/ Sjövik/ Skepplanda/ Sollebrunn/ Spekeröd/ Stenkullen/ Stenungsund/ Stora Höga/ Surte/ Svenshögen/ Tollered/ Ucklum/ Vårgårda/ Ytterby
45,Bohus-Malmön/ Bovallstrand/ Brastad/ Bullaren/ Dingle/ Färgelanda/ Fiskebäckskil/ Fjällbacka/ Grebbestad/ Grundsund/ Hällevadsholm/ Hamburgsund/ Havstenssund/ Hedekas/ Högsäter/ Hovenäset/ Hunnebostrand/ Kungshamn/ Ljungskile/ Lur/ Lysekil/ Munkedal/ Nordkoster/ Ödeborg/ Rabbalshede/ Resö/ Skee/ Smögen/ Stigen/ Strömstad/ Sydkoster/ Tanumshede/ Uddevalla/ Väjern
46,Åsensbruk/ Brålanda/ Dals Rostock/ Dalskog/ Frändefors/ Göta/ Grästorp/ Håverud/ Hjärtum/ Köpmannebro/ Lilla Edet/ Lödöse/ Mellerud/ Nossebro/ Nygård/ Prässebo/ Sjuntorp/ Trollhättan/ Upphärad/ Vänersborg/ Vänersnäs/ Vargön/ Västerlanda/ Västra Tunhem
47,Askerön/ Åstol/ Bleket/ Bohus-Björkö/ Dyrön/ Ellös/ Fagerfjäll/ Fotö/ Grötö/ Gullholmen/ Hakenäset/ Hälleviksstrand/ Hälsö/ Henån/ Hjälteby/ Hönö/ Höviksnäs/ Hyppeln/ Kållekärr/ Källö-Knippla/ Kalvsund/ Käringön/ Klädesholmen/ Klövedal/ Kyrkesund/ Mjörn/ Mollösund/ Myggenäs/ Nösund/ Öckerö/ Rönnäng/ Rörö/ Skärhamn/ Stillingsön/ Svanesund/ Varekil
50,Borås/ Brämhult/ Bredared/ Frufällan/ Gånghester/ Hedared/ Sandhult
51,Älekulla/ Ambjörnarp/ Aplared/ Äspered/ Berghem/ Björketorp/ Bollebygd/ Borås/ Borgstena/ Dalsjöfors/ Dalstorp/ Dannike/ Fotskäl/ Fristad/ Fritsla/ Grimsås/ Håcksvik/ Hajom/ Hillared/ Holsljunga/ Horred/ Hultafors/ Hyssna/ Istorp/ Kalv/ Kinna/ Kinnahult/ Kinnarumma/ Kungsäter/ Länghem/ Limmared/ Ljungsarp/ Målsryd/ Månstad/ Mårdaklev/ Mjöbäck/ Nittorp/ Olsfors/ Ölsremma/ Örby/ Östra Frölunda/ Överlida/ Öxabäck/ Öxnevalla/ Rångedala/ Rydal/ Rydboholm/ Sandared/ Sätila/ Seglora/ Sexdrega/ Sjömarken/ Sjötofta/ Skene/ Skephult/ Sparsör/ Svaneholm/ Svenljunga/ Töllsjö/ Torestorp/ Tostared/ Tranemo/ Uddebo/ Viskafors
52,Älmestad/ Åsarp/ Blidsberg/ Broddetorp/ Dalum/ Falköping/ Floby/ Gällstad/ Grönahög/ Gudhem/ Herrljunga/ Hökerum/ Kättilstorp/ Kinnarp/ Ljung/ Marbäck/ Slutarp/ Stenstorp/ Tidaholm/ Timmele/ Trädet/ Tvärred/ Ulricehamn/ Vartofta/ Vegby
53,Axvall/ Götene/ Hällekis/ Järpås/ Källby/ Kvänum/ Larv/ Lidköping/ Lundsbrunn/ Såtenäs/ Skara/ Stora Levene/ Tråvad/ Tun/ Vara/ Varnhem/ Vedum/ Vinninga
54,Älgarås/ Fagersanna/ Forsvik/ Gårdsjö/ Gullspång/ Hjo/ Hova/ Karlsborg/ Lerdala/ Lyrestad/ Mariestad/ Moholm/ Mölltorp/ Otterbäcken/ Sjötorp/ Skagersvik/ Skövde/ Tibro/ Tidan/ Timmersdala/ Töreboda/ Torsö/ Undenäs/ Väring/ Värsås
55,Jönköping
56,Bankeryd/ Bottnaryd/ Brandstorp/ Gränna/ Habo/ Hok/ Huskvarna/ Lekeryd/ Månsarp/ Mullsjö/ Norrahammar/ Sandhem/ Skillingaryd/ Taberg/ Tenhult/ Vaggeryd/ Visingsö
